pmid	year	journal	author	title	queries	pubtype
28375666	2017	Am J Respir Cell Mol Biol	Sasse SK	Glucocorticoid Receptor ChIP-Seq Identifies PLCD1 as a KLF15 Target that Represses Airway Smooth Muscle Hypertrophy.	P13_lung_immune_chip;P15_direct_targets;P1_lung_chip_tf;P2_lung_chip_disease;P3_lung_tf_names;P8_tf_perturb_rna	Journal Article;Research Support, N.I.H., Extramural
36777184	2023	Cell Genom	Koh KD	Genomic characterization and therapeutic utilization of IL-13-responsive sequences in asthma.	P14_variant_tf_binding;P1_lung_chip_tf;P2_lung_chip_disease;P3_lung_tf_names;P4_encode_cellline;P7_perturbseq	Journal Article
36252121	2022	Circ Res	Wang C	MED1 Regulates BMP/TGF-β in Endothelium: Implication for Pulmonary Hypertension.	P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease;P5_lung_atac_footprint;P6_lung_3d	Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural
39629132	2024	Theranostics	Chen X	Characterization of dipyridamole as a novel ferroptosis inhibitor and its therapeutic potential in acute respiratory distress syndrome management.	P12_mouse_lung_chip;P13_lung_immune_chip;P14_variant_tf_binding;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article;Research Support, Non-U.S. Gov't
42239439	2026	bioRxiv	Vasilaki E	Identification of drug candidates for rescue of SOX17 gene targets in pulmonary arterial hypertension.	P12_mouse_lung_chip;P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease;P8_tf_perturb_rna	Journal Article;Preprint
32374672	2020	Am J Physiol Lung Cell Mol Physiol	Zhong Y	IL-1β dysregulates cGMP signaling in the newborn lung.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease;P4_encode_cellline	Journal Article
35675437	2022	Sci Transl Med	Chelladurai P	Epigenetic reactivation of transcriptional programs orchestrating fetal lung development in human pulmonary hypertension.	P12_mouse_lung_chip;P13_lung_immune_chip;P2_lung_chip_disease;P3_lung_tf_names	Journal Article;Research Support, Non-U.S. Gov't
36796505	2023	Int J Biochem Cell Biol	Kurotani R	Secretoglobin 3A2 protects lung from developing cigarette smoke-induced pulmonary emphysema.	P12_mouse_lung_chip;P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Intramural
37953063	2024	Phytother Res	Li Y	Salvianolic acid B protects against pulmonary fibrosis by attenuating stimulating protein 1-mediated macrophage and alveolar type 2 cell senescence.	P12_mouse_lung_chip;P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
40617369	2025	Cell Signal	Wang J	STAT5/VCAN/PI3K signaling pathway promotes fibroblast activation and lung fibrosis.	P12_mouse_lung_chip;P13_lung_immune_chip;P1_lung_chip_tf;P2_lung_chip_disease	Journal Article
