pmid	year	journal	type	queries	title
42346508	2026	J Dev Biol	Journal Article	Q1_lung_GRN_disease;Q3_tf_target_database;Q6_gwas_lung_regulatory;Q10_lung_cancer_tf_network;Q11_lung_dev_tf	Spatiotemporal Profiling Defines the Epithelial and Mesenchymal Transition Window in Embryonic Lung Morphogenesis.
38841857	2024	Arterioscler Thromb Vasc Biol	Journal Article;Research Support, N.I.H., Extramural	Q1_lung_GRN_disease;Q2_scenic_lung;Q11_lung_dev_tf;Q12_pah_bpd_tf	Molecular Changes Implicate Angiogenesis and Arterial Remodeling in Systemic Sclerosis-Associated and Idiopathic Pulmonary Hypertension.
40510163	2025	Front Oncol	Journal Article	Q1_lung_GRN_disease;Q9_copd_asthma_tf;Q10_lung_cancer_tf_network;Q11_lung_dev_tf	Molecular targets and mechanisms of cortex mori for lung cancer treatment: a network pharmacology study, molecular docking and in vitro and in vivo experimental validation.
34922464	2021	BMC Genomics	Journal Article	Q8_ipf_tf;Q9_copd_asthma_tf;Q10_lung_cancer_tf_network	Comprehensive epigenomic profiling of human alveolar epithelial differentiation identifies key epigenetic states and transcription factor co-regulatory networks for maintenance of distal lung identity.
41415280	2025	Front Immunol	Journal Article	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network;Q11_lung_dev_tf	Single-cell RNA sequencing reveals heterogeneity among AT2 epithelial cells in the lung adenocarcinoma microenvironment.
40595797	2025	Sci Rep	Journal Article	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network;Q11_lung_dev_tf	Identification of exosome-related genes in NSCLC via integrated bioinformatics and machine learning analysis.
40453984	2025	Int J Chron Obstruct Pulmon Dis	Journal Article;Research Support, Non-U.S. Gov't	Q1_lung_GRN_disease;Q6_gwas_lung_regulatory;Q9_copd_asthma_tf	Identifying Common Diagnostic Biomarkers and Therapeutic Targets between COPD and Sepsis: A Bioinformatics and Machine Learning Approach.
39960662	2025	Int J Cancer	Journal Article;Validation Study;Research Support, Non-U.S. Gov't	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network;Q11_lung_dev_tf	Development and validation of a transcription factor regulatory network-based signature for individualized prognostic risk in lung adenocarcinoma.
39868264	2025	bioRxiv	Journal Article;Preprint	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network;Q11_lung_dev_tf	Evolutionary trajectories of immune escape across cancers.
42352916	2026	Int J Mol Sci	Journal Article	Q1_lung_GRN_disease;Q3_tf_target_database;Q10_lung_cancer_tf_network	A Multi-Level miRNA Regulatory Network Associated with IRF1 Expression in Non-Small Cell Lung Cancer: In Silico Identification of Candidate Biomarkers for Immunotherapy Response.
42271515	2026	Hum Genomics	Journal Article	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network;Q11_lung_dev_tf	Editing regulatory network in non-small cell lung cancer: implications for immunity and metastasis.
41634895	2026	Hum Genomics	Journal Article;Research Support, Non-U.S. Gov't	Q1_lung_GRN_disease;Q3_tf_target_database;Q10_lung_cancer_tf_network	Multi-omics analysis and experiments validate the tumor-suppressive role of mitochondrial lipid metabolism gene ACSM5 in lung adenocarcinoma and its impact on the immune microenvironment.
41783590	2026	Front Cell Dev Biol	Journal Article	Q2_scenic_lung;Q3_tf_target_database;Q10_lung_cancer_tf_network	Single-cell atlas reveals a pro-metastatic RELB+ neutrophil-myeloid subset underlying lymph node metastasis in EGFR-wildtype LUAD.
42562793	2026	J Gene Med	Journal Article;Research Support, Non-U.S. Gov't	Q3_tf_target_database;Q7_disease_gene_resource;Q12_pah_bpd_tf	MITF Regulates CFTR Expression to Participate in Myocardial Ischemia-Reperfusion Injury.
41649126	2026	OMICS	Journal Article	Q3_tf_target_database;Q10_lung_cancer_tf_network;Q11_lung_dev_tf	A Comprehensive Analysis of Transcription Factor-microRNA Network in Six Different Major Cancers: Uncovering the Regulatory Backstages of Cancer.
34759894	2021	Front Microbiol	Journal Article	Q2_scenic_lung;Q12_pah_bpd_tf	The Small RNA ErsA Impacts the Anaerobic Metabolism of Pseudomonas aeruginosa Through Post-Transcriptional Modulation of the Master Regulator Anr.
33847347	2021	Brief Bioinform	Journal Article;Research Support, Non-U.S. Gov't	Q8_ipf_tf;Q9_copd_asthma_tf	Bioinformatics and system biology approach to identify the influences of SARS-CoV-2 infections to idiopathic pulmonary fibrosis and chronic obstructive pulmonary disease patients.
35854722	2022	AMIA Jt Summits Transl Sci Proc	Journal Article	Q2_scenic_lung;Q8_ipf_tf	gene2gauss: A multi-view gaussian gene embedding learner for analyzing transcriptomic networks.
36252121	2022	Circ Res	Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural	Q5_lung_chipseq_tf;Q12_pah_bpd_tf	MED1 Regulates BMP/TGF-β in Endothelium: Implication for Pulmonary Hypertension.
35976093	2022	Elife	Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural	Q5_lung_chipseq_tf;Q12_pah_bpd_tf	PI3K signaling specifies proximal-distal fate by driving a developmental gene regulatory network in SOX9+ mouse lung progenitors.
37808664	2023	bioRxiv	Preprint;Journal Article	Q6_gwas_lung_regulatory;Q10_lung_cancer_tf_network	Context-aware single-cell multiome approach identified cell-type specific lung cancer susceptibility genes.
37598461	2023	EBioMedicine	Journal Article	Q6_gwas_lung_regulatory;Q9_copd_asthma_tf	Epigenome-wide DNA methylation association study of circulating IgE levels identifies novel targets for asthma.
37066790	2023	Circulation	Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural	Q6_gwas_lung_regulatory;Q12_pah_bpd_tf	SOX17 Enhancer Variants Disrupt Transcription Factor Binding And Enhancer Inactivity Drives Pulmonary Hypertension.
37269594	2023	Biochem Biophys Res Commun	Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't	Q8_ipf_tf;Q9_copd_asthma_tf	Rev-erbα agonists suppresses TGFβ1-induced fibroblast-to-myofibroblast transition and pro-fibrotic phenotype in human lung fibroblasts.
38935935	2023	JMIR Bioinform Biotechnol	Journal Article	Q9_copd_asthma_tf;Q10_lung_cancer_tf_network	The Differentially Expressed Genes Responsible for the Development of T Helper 9 Cells From T Helper 2 Cells in Various Disease States: Immuno-Interactomics Study.
38249888	2023	J Thorac Dis	Journal Article	Q10_lung_cancer_tf_network;Q11_lung_dev_tf	Transcription factor-target gene regulatory network analysis in human lung adenocarcinoma.
39704704	2024	Gigascience	Journal Article;Research Support, Non-U.S. Gov't	Q1_lung_GRN_disease;Q6_gwas_lung_regulatory	scGraph2Vec: a deep generative model for gene embedding augmented by graph neural network and single-cell omics data.
39281570	2024	Heliyon	Journal Article	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network	Functional exploration and drug prediction on programmed cell death-related biomarkers in lung adenocarcinoma.
39228892	2024	Front Cell Infect Microbiol	Journal Article	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network	Global transcriptomic network analysis of the crosstalk between microbiota and cancer-related cells in the oral-gut-lung axis.
39107837	2024	Biol Sex Differ	Journal Article;Research Support, Non-U.S. Gov't	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network	Gene regulatory networks reveal sex difference in lung adenocarcinoma.
39005266	2024	bioRxiv	Journal Article;Preprint	Q1_lung_GRN_disease;Q10_lung_cancer_tf_network	Aging-associated Alterations in the Gene Regulatory Network Landscape Associate with Risk, Prognosis and Response to Therapy in Lung Adenocarcinoma.
39461973	2024	NPJ Syst Biol Appl	Clinical Study;Journal Article	Q2_scenic_lung;Q9_copd_asthma_tf	An integrative network-based approach to identify driving gene communities in chronic obstructive pulmonary disease.
38937794	2024	J Transl Med	Journal Article;Research Support, Non-U.S. Gov't	Q2_scenic_lung;Q8_ipf_tf	Macrophages as determinants and regulators of systemic sclerosis-related interstitial lung disease.
38773508	2024	J Transl Med	Journal Article	Q2_scenic_lung;Q10_lung_cancer_tf_network	Integrated analysis of single-cell and bulk RNA sequencing data reveals a myeloid cell-related regulon predicting neoadjuvant immunotherapy response across cancers.
