tier,pmid,year,journal,first_author,title,doi,lung_disease_scope,tf_target_evidence,why_listed,pubmed_url
A,36413377,2024,Am J Respir Cell Mol Biol,Gaddis N,LungMAP Portal Ecosystem: Systems-level Exploration of the Lung,10.1165/rcmb.2022-0165OC,"lung development + lung disease, human/rhesus/mouse","cell-type TF markers, no explicit TF-target edge set","LungMAP gateway portal; harmonized bulk and single-cell multiomics across age, disease and drug treatment",https://pubmed.ncbi.nlm.nih.gov/36413377/
A,33385216,2021,Am J Respir Cell Mol Biol,Du Y,Lung Gene Expression Analysis Web Portal Version 3: Lung-at-a-Glance,10.1165/rcmb.2020-0308LE,lung development and disease,TF expression by cell type,LGEA web portal v3 Lung-at-a-Glance,https://pubmed.ncbi.nlm.nih.gov/33385216/
A,28798251,2017,Am J Physiol Lung Cell Mol Physiol,Ardini-Poleske ME,LungMAP: The Molecular Atlas of Lung Development Program,10.1152/ajplung.00139.2017,lung development,TF expression by cell type,LungMAP consortium description and data model,https://pubmed.ncbi.nlm.nih.gov/28798251/
A,34936882,2022,Dev Cell,Sun X,A census of the lung: CellCards from LungMAP,10.1016/j.devcel.2021.11.007,normal lung cell types with disease links per cell card,TF markers per cell type,CellCards give an explicit disease-link field per lung cell type,https://pubmed.ncbi.nlm.nih.gov/34936882/
A,37516747,2023,Nat Commun,Guo M,Guided construction of single cell reference for human and mouse lung,10.1038/s41467-023-40173-5,48 human and 40 mouse lung cell types,cell-type marker TFs,LungMAP CellRef built from 104 human and 17 mouse lungs,https://pubmed.ncbi.nlm.nih.gov/37516747/
A,37291214,2023,Nat Med,Sikkema L,An integrated cell atlas of the lung in health and disease,10.1038/s41591-023-02327-2,"health plus IPF, COPD, lung cancer and more",cell-type marker genes incl. TFs,"HLCA integrates 49 datasets, 2.4 million cells, 486 individuals",https://pubmed.ncbi.nlm.nih.gov/37291214/
A,33208946,2020,Nature,Travaglini KJ,A molecular cell atlas of the human lung from single-cell RNA sequencing,10.1038/s41586-020-2922-4,normal human lung,TFs reported per cell type,"58 cell populations from ~75,000 cells",https://pubmed.ncbi.nlm.nih.gov/33208946/
A,32996785,2020,Am J Physiol Lung Cell Mol Physiol,Neumark N,The Idiopathic Pulmonary Fibrosis Cell Atlas,10.1152/ajplung.00451.2020,"IPF, COPD, control",expression only,IPF Cell Atlas web resource,https://pubmed.ncbi.nlm.nih.gov/32996785/
A,32832599,2020,Sci Adv,Adams TS,Single-cell RNA-seq reveals ectopic and aberrant lung-resident cell populations in idiopathic pulmonary fibrosis,10.1126/sciadv.aba1983,"IPF, COPD, control",expression only,"312,928 cells from 32 IPF, 28 control, 18 COPD lungs",https://pubmed.ncbi.nlm.nih.gov/32832599/
A,32832598,2020,Sci Adv,Habermann AC,Single-cell RNA sequencing reveals profibrotic roles of distinct epithelial and mesenchymal lineages in pulmonary fibrosis,10.1126/sciadv.aba1972,pulmonary fibrosis,expression only,"114,396 cells, 10 control and 20 PF lungs, 31 cell states",https://pubmed.ncbi.nlm.nih.gov/32832598/
