tier,pmid,year,journal,first_author,title,doi,assay,cell_type_or_biosample,condition,edge_type,scale_or_note,pubmed_url
T1_lung_TF_binding,33947861,2021,Nat Commun,Little DR,Differential chromatin binding of the lung lineage transcription factor NKX2-1 resolves opposing murine alveolar cell fates in vivo,10.1038/s41467-021-22817-6,ChIP-seq (in vivo),mouse AT1 vs AT2 alveolar cells,normal development,TF-DNA,NKX2-1 binds different sites in AT1 vs AT2; YAP/TAZ loss redirects binding - direct cell-type edge context,https://pubmed.ncbi.nlm.nih.gov/33947861/
T1_lung_TF_binding,31548395,2019,Proc Natl Acad Sci U S A,Little DR,Transcriptional control of lung alveolar type 1 cell development and maintenance by NK homeobox 2-1,10.1073/pnas.1906663116,ChIP-seq + genetics,mouse AT1 cells,normal development,TF-DNA,NKX2-1 control of AT1 development and maintenance,https://pubmed.ncbi.nlm.nih.gov/31548395/
T1_lung_TF_binding,33980985,2021,Commun Biol,Stuart WD,CRISPRi-mediated functional analysis of NKX2-1-binding sites in the lung,10.1038/s42003-021-02083-4,CRISPRi of ChIP-seq peaks,human lung cell lines,normal / innate defense,TF-DNA validated,"19 NKX2-1-bound regions tested in SFTPB, LAMP3, SFTPA genes",https://pubmed.ncbi.nlm.nih.gov/33980985/
T1_lung_TF_binding,32500120,2020,NAR Genom Bioinform,Stuart WD,CRISPRi-mediated functional analysis of lung disease-associated loci at non-coding regions,10.1093/nargab/lqaa036,CRISPRi of non-coding loci,lung cells,lung-disease GWAS loci,enhancer-gene validated,functional test of lung disease-associated non-coding regions,https://pubmed.ncbi.nlm.nih.gov/32500120/
T1_lung_TF_binding,31782890,2020,Mol Oncol,Hokari S,Comparative analysis of TTF-1 binding DNA regions in small-cell lung cancer and non-small-cell lung cancer,10.1002/1878-0261.12608,ChIP-seq + RNA-seq,NCI-H209 (SCLC) vs NCI-H441 (LUAD),cancer subtypes,TF-DNA,TTF-1/NKX2-1 binding regions differ by 75.0% between the two lines,https://pubmed.ncbi.nlm.nih.gov/31782890/
T1_lung_TF_binding,27452466,2016,Cell Rep,Borromeo MD,ASCL1 and NEUROD1 Reveal Heterogeneity in Pulmonary Neuroendocrine Tumors and Regulate Distinct Genetic Programs,10.1016/j.celrep.2016.06.081,ChIP-seq,"SCLC lines, mouse PNEC",neuroendocrine tumor,TF-DNA,"ASCL1 and NEUROD1 bind distinct loci; ASCL1 targets MYCL1, RET, SOX2, NFIB; NEUROD1 targets MYC",https://pubmed.ncbi.nlm.nih.gov/27452466/
T1_lung_TF_binding,27374332,2016,Cell,Denny SK,Nfib Promotes Metastasis through a Widespread Increase in Chromatin Accessibility,10.1016/j.cell.2016.05.052,ATAC/chromatin + ChIP,SCLC mouse and human,metastasis,TF-DNA,NFIB drives widespread chromatin accessibility increase,https://pubmed.ncbi.nlm.nih.gov/27374332/
T1_lung_TF_binding,32473656,2020,Cancer Cell,Ireland AS,MYC Drives Temporal Evolution of Small Cell Lung Cancer Subtypes by Reprogramming Neuroendocrine Fate,10.1016/j.ccell.2020.05.001,ChIP-seq + models,SCLC,subtype evolution,TF-DNA,MYC reprograms neuroendocrine fate across SCLC subtypes,https://pubmed.ncbi.nlm.nih.gov/32473656/
T1_lung_TF_binding,40963028,2025,Nature,Ireland AS,Basal cell of origin resolves neuroendocrine-tuft lineage plasticity in cancer,10.1038/s41586-025-09503-z,lineage tracing + single-cell,"mouse SCLC, basal origin",neuroendocrine-tuft plasticity,TF-DNA context,ASCL1 vs POU2F3 lineage states from a basal cell of origin,https://pubmed.ncbi.nlm.nih.gov/40963028/
T1_lung_TF_binding,35848993,2022,Am J Respir Crit Care Med,Kong R,Transcriptional Circuitry of NKX2-1 and SOX1 Defines an Unrecognized Lineage Subtype of Small-Cell Lung Cancer,10.1164/rccm.202110-2358OC,ChIP-seq,SCLC subtype,cancer,TF-DNA,NKX2-1 and SOX1 transcriptional circuitry defines an SCLC subtype,https://pubmed.ncbi.nlm.nih.gov/35848993/
