TF,Gene,Control.AT1_niche_1,Control.AT1_niche_2,Control.AT2,Control.Adventitial_FBs,Control.Alveolar_Macrophages_niche_1,Control.Alveolar_Macrophages_niche_2,Control.Arteriole,Control.Inflammatory_FBs,Control.Mesothelial,Control.Monocytes_MDMs,Control.Multiciliated,Control.Proliferating_AT2,Control.Proliferating_NK_NKT,Control.SPP1pos_Macrophages,Control.Secretory,Control.Transitional_AT2,IPF.AT1_niche_1,IPF.AT1_niche_2,IPF.AT2,IPF.Activated_Fibrotic_FBs_niche_1,IPF.Activated_Fibrotic_FBs_niche_2,IPF.Adventitial_FBs,IPF.Alveolar_Macrophages_niche_1,IPF.Alveolar_Macrophages_niche_2,IPF.Arteriole,IPF.B,IPF.Basal,IPF.CD4pos_T,IPF.CD8pos_T,IPF.Capillary,IPF.Goblet,IPF.Inflammatory_FBs,IPF.KRT5neg_KRT17pos_niche_1,IPF.KRT5neg_KRT17pos_niche_2,IPF.Lymphatic,IPF.Mesothelial,IPF.Multiciliated,IPF.Proliferating_AT2,IPF.Proliferating_NK_NKT,IPF.SMCs_Pericytes,IPF.SPP1pos_Macrophages,IPF.Secretory,IPF.Subpleural_FBs,IPF.Transitional_AT2,IPF.Tregs
AR,AKAP12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050118893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,FAM228B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014693876,0.0,0.012596734,0.0,0.0,0.0,0.025344035,0.0005055175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002116294,0.0,0.0,0.0,0.0,0.0,0.028404398,0.0,0.0,0.0,0.0,0.0,0.010090969,0.0,0.0,0.0,0.0,0.0078115505,0.0,0.0,0.0
AR,MAMSTR,0.0,0.0,0.0,0.0,0.0,0.0,0.04431408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,MORC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01909829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003024265,0.0,0.0,0.0
AR,PTGR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001963819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020215271,0.0031314983,0.0,0.0,0.0,0.0,0.0038805208,0.0,0.0,0.0,0.0,0.0033030892,0.0,0.0,0.0
AR,SH3BP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018740032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20074329,0.0,0.0,0.0,0.0,0.0,0.005569227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,ZNF529-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.005725296,0.0,0.0037138807,0.0,0.023283157,0.0,0.0,0.0,0.014853141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036627162,0.0,0.0,0.0,0.0,0.0,0.0052457703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARID5A,AAK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035068583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004919513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARID5A,ANKS1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0046510985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021568385,0.0022059816,0.0054597305,0.0006425319,0.0013033164,0.023843855,0.0,0.0,0.0,0.0,0.0,0.0,0.0023800493,0.0,0.0,0.0073805945,0.0,0.0,0.0,0.0,0.0020599787,0.0025031934,0.0,0.0,0.0,0.0
ARID5A,ANXA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028642345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
